FID,osm_id,amenity,name,short_name,official_name,alt_name,old_name,operator,operator-type,emergency,capacity,wheelchair,ref-FR-FINESS,type-FR-FINESS,ref-FR-NAF,ref-FR-SIRET,contact-website,url,phone,contact-phone,fax,contact-fax,email,contact-email,addr-housename,addr-housenumber,addr-street,addr-city,addr-postcode,wikidata,wikipedia,description,opening_hours,source,note,osm_type,osm_version,osm_timestamp,healthcare-speciality,the_geom,osm_original_geom
france_hospitals_point.788770193,788770193,hospital,Centre Hospitalier de Gérardmer,,,Centre Hospitalier Claudius Regaud,,,,,,,880000039,355,,,,,,,,,,,,22,Boulevard Kelsch,Gérardmer,88400,,,,,,,way,3,2022-11-27T18:09:59Z,,POINT (765607.1793617044 6118951.69175178),"SRID=3857;POLYGON((765549.236618021 6118960.27345231,765590.881239526 6118895.33328403,765602.981668176 6118895.33328403,765637.012036511 6118914.82527877,765648.143985591 6118927.43678958,765631.791152393 6118957.1413857,765646.57438077 6118966.40430941,765640.451808777 6118975.26740406,765658.830656707 6118985.89646575,765650.44829905 6118997.8750009,765644.214407566 6119006.70480804,765640.451808777 6119012.68575804,765632.982270945 6119008.65403084,765549.236618021 6118960.27345231))"
france_hospitals_point.660630149,660630149,hospital,Hôpital Le Corbusier,,,,,,,,,,420000234,355,,,http://www.hopital-lecorbusier.fr/,,,+33 4 77 40 41 42,,,,,,2,Rue Robert Plotton,Firminy,42704,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,way,2,2020-03-25T17:09:11Z,,POINT (477575.83081623923 5682770.339302884),"SRID=3857;POLYGON((477400.671658772 5682834.4884731,477402.909180537 5682828.51276353,477407.985349317 5682823.88436523,477411.714552259 5682816.26019378,477412.760955472 5682809.61876906,477412.237753865 5682803.88083567,477410.679280994 5682798.72937926,477408.731189905 5682795.21053998,477409.777593119 5682792.15137001,477467.352033757 5682695.70087319,477486.443326428 5682664.79255239,477495.026059168 5682664.44384374,477506.926112734 5682660.40199445,477507.627425526 5682659.73627827,477509.965134833 5682657.83423232,477517.345617072 5682652.15979762,477522.989515255 5682655.61517921,477522.432917801 5682656.09069054,477532.1177135 5682664.49139492,477536.570493132 5682668.29549006,477546.14396934 5682664.01588314,477552.878798533 5682671.90938194,477555.7063136 5682674.28694318,477563.554337701 5682673.1298633,477559.480044338 5682666.93235578,477551.643152186 5682654.61660549,477583.257887571 5682634.3598484,477580.942442162 5682620.39570997,477569.888416727 5682602.48487187,477606.84648767 5682579.48614024,477633.719012748 5682562.84340089,477640.654217024 5682559.41975548,477646.409434698 5682558.7381966,477653.044076349 5682559.92696213,477656.929126578 5682562.0984409,477661.114739432 5682565.45868645,477688.131979847 5682604.19670264,477703.727840507 5682627.49665392,477715.895060851 5682633.97944025,477698.284317408 5682668.08943487,477700.744478154 5682674.28694318,477768.98332601 5682711.05997072,477746.062642856 5682754.45867757,477710.974739358 5682819.85829468,477705.99875812 5682831.87310901,477687.408403157 5682824.74030172,477673.94987672 5682819.09746265,477665.589782962 5682834.4884731,477642.602308113 5682842.39797279,477664.988657711 5682892.70826056,477685.449180119 5682913.90080093,477679.170760838 5682926.43881963,477671.556507668 5682929.73579838,477659.912488931 5682928.08730885,477650.505991959 5682918.97306934,477640.353654399 5682902.26629612,477618.412582764 5682849.86365927,477595.425107915 5682859.56430577,477585.940687299 5682863.89155833,477599.020727467 5682891.78891439,477597.796213068 5682892.42294622,477589.001973296 5682896.70266224,477588.779334314 5682896.22713814,477570.522937824 5682905.4206086,477543.839655881 5682930.25887685,477536.23653466 5682942.5116025,477534.678061789 5682944.88923555,477529.22340674 5682953.29021072,477517.067318345 5682972.34301755,477516.53298479 5682972.1528063,477504.510479784 5682987.21120943,477493.712489177 5682983.24846931,477488.146514637 5682981.18784514,477477.259468438 5682977.49457378,477474.342897779 5682971.83578756,477472.673105417 5682968.82411008,477467.886367313 5682960.42312034,477455.863862307 5682938.54888215,477442.505523412 5682914.45558015,477421.911417615 5682876.88917932,477401.795985629 5682840.38493313,477400.671658772 5682834.4884731))"
france_hospitals_point.701710733,701710733,hospital,Centre hospitalier de Mauvezin,,,,,,,no,,,320000151,106,,,,,+33 5 62 58 32 00,,+33 5 62 58 32 29,,accueil@hopital-mauvezin.fr,,,,,,,Q92062808,,,,,,way,2,2022-08-18T20:49:41Z,,POINT (97396.80054703656 5423709.638702047),"SRID=3857;POLYGON((97317.2465674852 5423729.22803233,97320.163138144 5423669.20935067,97322.4785835525 5423666.82155185,97362.1639820203 5423664.35672791,97378.7839819957 5423663.32458308,97383.737699336 5423663.01648017,97441.824209632 5423659.25762548,97441.8464735301 5423659.75058994,97447.7352745931 5423659.53491798,97449.5275183949 5423660.18193386,97450.7965605899 5423661.36812977,97458.110251135 5423671.6741759,97473.1717782393 5423692.11684557,97480.8639550532 5423726.79400222,97480.6635799697 5423726.84021798,97485.1497554487 5423746.89787773,97484.8603247726 5423747.08274116,97476.3221198288 5423749.43975017,97457.1529035142 5423752.92134628,97418.4359846163 5423753.36809986,97345.4660584013 5423754.15376999,97320.2410617875 5423754.38484946,97318.894095949 5423753.78404286,97318.2929706987 5423752.73648274,97317.2465674852 5423729.22803233))"
france_hospitals_point.458335029,458335029,hospital,Centre hospitalier de Châlons-en-Champagne,,,,,,public,yes,,,510000169,355,,,,,+33 3 26 69 60 60,,+33 3 26 21 38 20,,,,,51,Rue du Commandant Derrien,Châlons-en-Champagne,51005,Q65503889,,,,,,way,6,2022-08-18T20:49:41Z,intensive,POINT (486476.2905483803 6270074.560117437),"SRID=3857;POLYGON((486240.86411724 6269512.12154729,486443.020312521 6269604.33516012,486457.269207342 6269605.86132252,486735.445482885 6270086.07352496,486673.640901597 6270119.66803302,486678.984237155 6270131.31845644,486647.6032727 6270149.24352062,486726.773694552 6270283.87773864,486617.235315612 6270350.98366595,486670.212261281 6270464.13391107,486602.129260711 6270472.35907036,486605.268470352 6270574.5891407,486374.514297886 6270546.01276066,486363.293293214 6270450.60057361,486329.752730638 6270131.08103862,486304.616789617 6269894.75186992,486240.86411724 6269512.12154729))"
france_hospitals_point.595796916,595796916,hospital,Clinique Notre-Dame,,,,,,,,,,140000290,128,,,,,+33 2 31 66 64 00,,+33 2 31 66 64 99,,,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2013,,way,3,2020-02-17T16:09:07Z,,POINT (-99850.90137464859 6247884.2400595285),"SRID=3857;POLYGON((-99941.5701670894 6247956.97026493,-99904.890394873 6247804.6606985,-99895.5840854427 6247796.67741863,-99876.0252509103 6247788.47426812,-99844.4550433213 6247779.59457807,-99830.6402945139 6247778.24148326,-99790.5096180829 6247782.06397666,-99796.2314399097 6247818.44540497,-99778.9880507858 6247822.20026141,-99782.7840454219 6247838.6742909,-99759.5182718461 6247848.7380105,-99775.503750724 6247867.54620424,-99783.2849831304 6247897.55144867,-99754.6870059456 6247905.51790967,-99781.0029335692 6247961.53705712,-99894.1591959605 6247964.58158661,-99894.7046614654 6248001.20059656,-99907.6733821428 6247995.99104646,-99919.0168382547 6247986.87434149,-99939.4773606625 6247962.53498611,-99941.5701670894 6247956.97026493))"
france_hospitals_point.30654855,30654855,hospital,Centre hospitalier de Lézignan-Corbières,,,,,,,no,,,110787223,,,,,,,,,,,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2009,,way,8,2023-01-08T14:28:18Z,,POINT (307187.447495901 5341649.369760227),"SRID=3857;POLYGON((307057.983846237 5341625.47021122,307066.922801348 5341601.16128333,307072.755942665 5341593.12957863,307088.90840078 5341576.10421989,307110.214951317 5341554.4370146,307125.721756385 5341537.88507494,307146.69434845 5341515.17964836,307150.20091241 5341511.7746026,307155.021046362 5341516.26376632,307157.425547363 5341518.508349,307160.754000138 5341521.47058818,307265.616960465 5341619.62201486,307269.624462133 5341623.28668056,307304.467462752 5341655.65795681,307317.157884702 5341667.56817165,307330.583015292 5341680.54726926,307338.920845152 5341702.73393328,307312.382278547 5341717.66758822,307307.306109767 5341713.34629298,307240.124797073 5341752.07005617,307218.484288063 5341741.9157415,307211.615875481 5341743.94660355,307177.975125363 5341763.67500077,307171.796893624 5341757.70456036,307080.425855581 5341671.00381338,307093.350048462 5341658.25377157,307091.290637883 5341656.26873669,307072.70028292 5341639.01422054,307057.983846237 5341625.47021122))"
france_hospitals_point.63234971,63234971,hospital,Clinique Maussins-Nollet,,,,,,,,,,750301160,128,,,,,+33 1 42 03 47 37,,+33 1 40 03 12 00,,groupe@maussins.com,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,way,5,2019-03-01T11:31:08Z,,POINT (267665.90593644045 6254067.910085083),"SRID=3857;POLYGON((267631.28074309 6254044.98172361,267640.052718964 6254042.1550481,267662.071714243 6254035.04604802,267678.981144895 6254029.59581866,267674.350254078 6254044.55856853,267672.179524007 6254051.37983092,267672.825177054 6254051.61679795,267676.431928555 6254062.61884596,267679.726985483 6254061.45093557,267690.903462359 6254065.93638939,267687.630669329 6254073.80709712,267688.766128135 6254072.97771037,267692.784761753 6254074.50107386,267693.007400735 6254076.12599521,267694.142859541 6254075.09349306,267697.482444264 6254076.54915186,267697.616027653 6254077.85247448,267698.784882307 6254076.8876772,267702.057675336 6254078.10636852,267702.113335081 6254079.66358548,267703.404641175 6254080.17137367,267696.881319014 6254101.43080024,267694.565873606 6254100.29673712,267694.287574879 6254100.92301076,267694.042671999 6254100.75374761,267693.218907767 6254101.71854762,267689.467440927 6254100.44907395,267689.445177029 6254098.95955842,267689.033294913 6254098.89185317,267688.042551445 6254099.75509509,267684.491459689 6254098.48562172,267684.369008249 6254097.01303284,267684.057313675 6254096.87762238,267683.200153596 6254097.89320087,267679.51547845 6254096.57294886,267679.39302701 6254095.10036031,267677.979269477 6254095.87897031,267674.20553874 6254094.40638189,267673.971767809 6254093.08613042,267671.589530706 6254095.52351791,267644.293991563 6254084.77532139,267631.28074309 6254044.98172361))"
france_hospitals_point.805223037,805223037,hospital,Centre Hospitalier de Sartène,,,,,,,,,,,,,,,,,,,,contact@hopitalsartene.com,,,,,,,,,,,,,way,1,2020-05-18T05:58:20Z,,POINT (994699.25180302 5102194.821708402),"SRID=3857;POLYGON((994601.601235946 5102157.60267548,994644.292260665 5102092.51381855,994716.549742139 5102066.23722063,994837.175542363 5102232.24995417,994807.620217557 5102228.36423189,994783.141061532 5102235.83792135,994764.918060889 5102254.04575884,994741.040030114 5102285.10188837,994714.456935712 5102306.60005411,994680.727130002 5102314.05891649,994635.932166907 5102311.08132602,994601.601235946 5102157.60267548))"
france_hospitals_point.39536410,39536410,hospital,Centre hospitalier intercommunal de Poissy,CHIPS,,Centre hospitalier Léon Touhladjian,,Centre hospitalier intercommunal de Poissy/Saint-Germain-en-Laye,public,yes,,,780000311,355,,,,,+33 1 39 27 40 50,,+33 1 39 27 43 75,,,,,,,Poissy,78300,,,,,,,way,15,2022-11-22T02:15:43Z,intensive,POINT (225177.62963525008 6261089.630422516),"SRID=3857;POLYGON((224760.742213016 6261138.00065129,224802.28664698 6261101.90074963,224834.914389732 6261073.96620594,224927.754845053 6260994.4828542,225030.035193194 6260905.19202538,225040.276586347 6260807.99127982,225111.788227233 6260767.77644951,225198.628562 6260796.4722693,225245.872553893 6260713.77301006,225322.861113726 6260753.88594597,225382.617416384 6260789.45923234,225404.758863102 6260816.08847601,225417.393625307 6260865.73902627,225390.109218114 6260869.97398945,225348.787423131 6260941.37578782,225341.718635466 6260954.55511802,225414.310075412 6261011.25357598,225552.524355181 6261198.86770426,225464.927047876 6261227.76827291,225460.474268244 6261224.12605044,225442.485038532 6261230.30935929,225439.813370753 6261235.93363317,225355.589044019 6261263.91953351,225217.909097806 6261439.46032468,225186.049459541 6261454.28371014,225087.765481119 6261447.23624593,225091.361100672 6261416.64083235,225019.537765212 6261398.7003838,225045.252567585 6261297.41125626,225053.5347377 6261273.15219043,224760.742213016 6261138.00065129))"
france_hospitals_point.25534637,25534637,hospital,Hôpital Purpan,,,,,CHU de Toulouse,public,yes,,,310783048,101,,,,,+33 5 61 77 22 33,,,,,,,1,Place Dr Joseph Baylac,Toulouse,31027,Q16508277,,,,,,way,18,2022-07-14T11:54:02Z,intensive,POINT (155950.98627254987 5405304.3770420505),"SRID=3857;POLYGON((155537.451571858 5405816.32977885,155543.852442579 5405605.90432591,155549.485208813 5405409.10566385,155559.392643493 5405018.45735359,155581.111076147 5405007.57250968,155597.486173243 5404984.37307579,155601.326695675 5404971.08992712,155600.258028564 5404951.41122343,156182.113874991 5404595.09556442,156196.15126278 5404595.66437944,156223.60264921 5404617.03340163,156231.317089922 5404626.79552532,156229.168623749 5404634.12865493,156237.205890985 5404647.61117465,156250.853660556 5404654.52923687,156371.46832883 5405301.71378538,156375.698469481 5405326.63596988,156372.837558567 5405345.34687062,156290.928677241 5405391.27099208,156277.236379874 5405406.84557854,156272.939447529 5405425.47976778,156274.542448197 5405448.75718234,156266.40499342 5405483.2429181,156453.288154563 5405667.14338903,156445.22862343 5405716.40553582,156414.771610749 5405757.88803401,156323.122273979 5405799.09396145,156223.7139687 5405722.06362691,156189.973031041 5405630.41220257,156169.078362619 5405618.77325932,156138.754933327 5405600.64605719,156130.417103467 5405619.11151109,156117.170084062 5405647.87833248,156104.913808126 5405686.54686246,156093.347713032 5405712.71547827,156083.006132338 5405723.10914412,156082.49406268 5405726.33794802,156038.344752631 5405761.47048235,155983.23047274 5405808.81120692,155963.894277189 5405833.28887051,155934.873285939 5405860.02679443,155894.664685865 5405883.30530293,155835.097626341 5405902.44784559,155793.007726872 5405906.53774337,155739.117961379 5405904.15453204,155641.913782018 5405904.8618076,155596.873916044 5405900.31064408,155551.132737277 5405850.98601564,155537.451571858 5405816.32977885))"
france_hospitals_point.-6197192,-6197192,hospital,Hôpital Renée Sabran,,,,,,,no,,yes,830100558,,,,,,,,,,,,,,,,,Q24929510,,,,Le ministère des solidarités et de la santé - 03/2019,,way,11,2022-12-04T10:59:42Z,,POINT (683176.4852477137 5317420.35838657),"SRID=3857;POLYGON((682367.583894345 5317608.47373493,682368.396526628 5317602.38165712,682372.459688042 5317594.94932757,682384.359741608 5317580.06945605,682390.048167587 5317570.99228916,682398.430525244 5317537.98863751,682405.73308384 5317520.53497683,682432.672400612 5317473.44376178,682445.5075379 5317450.99479905,682452.676513107 5317442.34419551,682456.472507744 5317438.15596604,682519.067457417 5317402.97491259,682532.81541453 5317395.23814458,682541.565126506 5317394.32435351,682537.368381703 5317415.69185819,682535.631797647 5317428.75910893,682533.850685794 5317442.20712615,682543.457557849 5317456.27959071,682557.394758097 5317446.39535744,682559.687939607 5317451.40600751,682563.918080257 5317450.43129118,682565.999754735 5317448.42093906,682578.968475412 5317449.42611507,682596.991100972 5317438.01889675,682599.228622737 5317442.03959694,682595.577343439 5317457.84827584,682609.525675635 5317450.17238217,682600.909547048 5317460.26983885,682601.499540349 5317465.88969503,682611.540558419 5317464.01640926,682616.193713134 5317468.35695003,682625.644737902 5317470.626216,682616.327296523 5317481.88117419,682622.839486734 5317485.78005326,682625.934168578 5317488.29300352,682629.474128385 5317482.8863538,682642.943786771 5317482.38376398,682647.630337334 5317487.47058336,682647.407698352 5317491.62837492,682673.957396906 5317490.2576742,682686.035561657 5317472.4995031,682691.779647382 5317463.74226991,682702.455186549 5317447.49191285,682726.945474524 5317416.4381226,682757.391355256 5317401.51284571,682787.848367937 5317399.730952,682793.225099342 5317424.20536796,682772.408354564 5317447.46145297,682780.111663327 5317463.34629086,682800.394074549 5317471.98168386,682830.85108723 5317472.57565299,682843.55264113 5317516.98637442,682865.037302853 5317520.32175605,682925.361334914 5317520.32175605,682930.35958005 5317503.58393968,682942.036994635 5317505.41154329,682939.387590754 5317494.59822715,682943.862634284 5317483.90676351,682953.714409219 5317476.76389788,682962.786947719 5317486.19126326,682980.41995506 5317449.441345,682996.372038091 5317445.08558309,683005.377784896 5317465.79831523,683014.339003905 5317444.79621436,683024.502473414 5317445.90799952,683024.413417822 5317453.8123389,683049.126344778 5317453.26406081,683061.493940205 5317446.3801275,683073.560973007 5317438.58240387,683085.449894624 5317423.41341324,683099.353699024 5317401.74129364,683115.528421036 5317369.66725806,683124.979445804 5317334.66921947,683125.046237499 5317322.40927611,683123.677007762 5317304.89509921,683126.704897912 5317292.80272144,683114.559941466 5317278.59343607,683103.973457892 5317275.98916425,683095.490912693 5317259.38885213,683108.181334644 5317238.21968954,683115.23899036 5317206.3746583,683112.500530886 5317170.00657743,683095.802607267 5317146.79687115,683097.116177259 5317128.88705846,683084.013873192 5317122.42978747,683076.143585193 5317096.90533545,683056.317583883 5317095.65652753,683060.625648177 5317078.63011429,683012.146009936 5317078.4625916,683057.942848449 5317059.86759108,683009.429814361 5317058.69493463,683024.903223581 5317049.19185402,682999.622567222 5317034.25193432,682988.468354245 5317016.55554658,682989.637208898 5317002.30099356,683037.593645532 5316987.08702345,683040.532480089 5317001.56999143,683059.278682338 5316980.21866268,683070.555346756 5316976.63980707,683082.332948881 5316997.39718868,683089.212493413 5316993.25484619,683366.954622942 5317070.16260727,683412.350711287 5317075.23397296,683426.287911535 5317072.40131791,683491.75490407 5317031.16039429,683518.248942879 5317001.79842959,683569.845526861 5316984.48283285,683604.610603836 5316982.19845573,683613.326919965 5316995.40216321,683617.345553583 5316998.05204446,683621.186076015 5316999.05717203,683625.204709633 5316999.33129775,683628.766933338 5316998.87442156,683647.758038468 5316994.67116161,683657.008688153 5316994.09245206,683664.3001148 5316997.79314798,683669.409679427 5317004.64629246,683677.446946662 5317017.98709478,683684.114984161 5317032.68332029,683685.662325083 5317041.1812519,683686.397033722 5317050.50157289,683687.63268007 5317064.55821835,683693.387897744 5317073.92425063,683700.144990835 5317082.37653171,683703.139485137 5317087.60019754,683703.907589624 5317092.39744424,683703.70721454 5317098.97652943,683702.159873618 5317104.00222263,683696.58276713 5317114.64756351,683694.935238666 5317119.01840083,683695.213537393 5317123.4044696,683699.232171011 5317128.29311118,683710.330724243 5317135.42048105,683717.221400723 5317140.68986484,683719.937596298 5317145.48713879,683721.084187053 5317150.83267552,683719.804012909 5317160.89934985,683714.416149555 5317204.65371996,683703.273068526 5317375.63734562,683719.536846131 5317530.72388997,683652.311005641 5317546.25857712,683577.96071774 5317566.71262125,683521.877958279 5317590.83718057,683442.228862616 5317627.17643861,683325.677355756 5317685.1276433,683315.547282093 5317690.00134838,683228.673551478 5317730.17905148,683191.949251466 5317746.42990009,683169.663089409 5317753.55774139,683139.517771302 5317760.32005739,683123.632479966 5317762.1477112,683055.616271091 5317763.71644767,683051.163491459 5317763.8687522,683051.163491459 5317761.12727111,683044.617905401 5317759.6346873,683027.630551106 5317751.45594147,683001.782165344 5317740.13973697,682985.796686466 5317733.9257301,682974.01908434 5317731.001493,682960.504898157 5317730.17905148,682953.803464812 5317730.04197791,682941.959070991 5317729.81352194,682927.799231762 5317730.17905148,682915.565219724 5317731.73255219,682895.015641724 5317738.67761734,682831.808434851 5317762.78739012,682826.509627089 5317764.06674809,682820.932520601 5317764.61504441,682813.0844965 5317764.24951353,682798.067497192 5317761.75171951,682781.291649929 5317755.79661574,682759.617745072 5317742.08923018,682742.58586298 5317731.58024819,682718.785755849 5317723.87366891,682703.089707647 5317721.71095413,682684.900102851 5317724.0107424,682657.82720269 5317729.05200211,682626.457370185 5317734.900476,682612.453378243 5317735.76860916,682601.020866539 5317734.76340235,682585.870283842 5317731.24517939,682577.076044069 5317728.47324708,682542.84530065 5317709.73987995,682530.945247084 5317705.61245208,682503.683103789 5317696.06302262,682491.371168107 5317688.96568584,682489.111382444 5317686.95528241,682476.643599475 5317670.96345234,682466.346546577 5317656.49467728,682459.311154759 5317651.75806211,682446.999219077 5317646.89960723,682436.846881517 5317644.99582466,682423.054396607 5317645.13289699,682415.206372506 5317640.94457664,682409.384363138 5317639.45201203,682397.484309572 5317635.26369423,682381.253927815 5317627.14597815,682374.886452941 5317621.32803214,682369.754624416 5317614.96180216,682367.583894345 5317608.47373493))"
france_hospitals_point.46158410,46158410,hospital,Centre hospitalier François Quesnay,,,,,,public,yes,,,780000287,365,,,,,+33 1 34 97 40 00,,+33 1 34 97 40 15,,,,,,,,,,,,,,,way,5,2021-02-16T15:47:48Z,intensive,POINT (186356.46478095683 6274587.385612954),"SRID=3857;POLYGON((186049.600796688 6274425.24514042,186466.726060639 6274371.81612524,186511.342912549 6274366.09827351,186601.467172295 6274426.99274491,186665.286636367 6274744.51981401,186142.79747438 6274813.57852563,186134.860394686 6274814.63053002,186111.550093314 6274703.32240416,186097.056295613 6274638.26891304,186049.600796688 6274425.24514042))"
france_hospitals_point.53602684,53602684,hospital,Hôtel-Dieu,,,,,Assistance publique - Hôpitaux de Paris,public,yes,,yes,750100018,101,,,,,+33 1 42 34 82 34,,+33 1 42 34 80 78,,,,,,,,,Q1294736,fr:Hôtel-Dieu de Paris,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,way,18,2022-02-14T15:20:17Z,,POINT (261468.40820169047 6250231.385607061),"SRID=3857;POLYGON((261333.091120784 6250151.81752416,261380.279452931 6250129.33296883,261379.867570815 6250128.19943752,261399.28169001 6250118.92817222,261415.990745578 6250110.77352756,261433.033759618 6250102.83882898,261445.22324386 6250097.03584518,261452.514670507 6250093.56759144,261452.882024827 6250094.41350686,261498.322640969 6250072.41973358,261499.947905534 6250071.64149342,261506.460095746 6250085.37913462,261506.037081681 6250085.63290899,261515.899988565 6250106.00255652,261524.838943676 6250124.44355875,261525.351013333 6250124.22361995,261532.297349559 6250138.84110308,261534.879961745 6250144.47493143,261555.284824408 6250186.44960841,261557.355366936 6250190.44237368,261564.368494856 6250205.09380815,261567.485440598 6250211.8104673,261589.415380285 6250256.61088923,261596.439640154 6250271.19476351,261595.8830427 6250271.5162181,261599.823752674 6250279.63718017,261604.777470014 6250289.82223109,261605.445386959 6250289.48385712,261612.135688356 6250303.323364,261554.238421194 6250329.71661831,261555.184636866 6250331.74687204,261541.703846531 6250337.769961,261541.425547804 6250337.39774751,261519.195045492 6250347.78589368,261495.272486921 6250358.42783514,261495.461730055 6250358.90156257,261482.014335567 6250365.07694048,261481.034724048 6250362.94516568,261423.404623665 6250389.135579,261417.738461583 6250374.87296015,261418.217135394 6250374.58533938,261417.226391926 6250371.96291513,261412.139091196 6250358.37707863,261411.048160187 6250355.4839581,261410.558354427 6250355.72082173,261404.881060397 6250340.42621226,261401.964489738 6250332.33902947,261395.452299527 6250315.79247453,261389.218408042 6250299.29670808,261389.518970667 6250299.17827705,261386.235045689 6250291.15880846,261380.502091913 6250276.05042096,261360.687222552 6250223.39967759,261360.34213213 6250223.34892189,261354.54238666 6250208.39292218,261355.076720216 6250208.07146998,261353.863337766 6250204.89078579,261344.434576896 6250180.32511618,261339.002185745 6250165.89366443,261338.568039731 6250166.0797674,261333.091120784 6250151.81752416))"
france_hospitals_point.674085103,674085103,hospital,Centre hospitalier de Condom,,,,,,public,yes,,,320000102,355,,,,,+33 5 62 28 20 77,,+33 5 62 28 49 99,,,,,,,,,,,,,,,way,5,2021-10-30T00:14:48Z,,POINT (42158.101960577005 5458638.775099425),"SRID=3857;POLYGON((42055.702121365 5458587.1261726,42109.4026437237 5458545.42070766,42113.4992009849 5458542.40530318,42143.677914939 5458523.60157246,42271.0162804574 5458690.65612971,42272.363246296 5458693.64065511,42272.218530958 5458696.48600665,42269.8251619059 5458700.3674387,42265.7953963392 5458702.30042341,42165.5076670835 5458731.7127688,42165.2516322547 5458731.04781989,42147.5518332186 5458737.23339302,42141.2845458869 5458731.51173773,42121.5587321183 5458721.67668453,42115.0131460597 5458679.75411513,42108.6456711863 5458680.74380102,42108.2449210195 5458674.94486174,42108.0556778851 5458669.81087055,42104.3376068926 5458669.70262378,42103.5027107117 5458664.13564869,42101.2651889467 5458663.54802373,42099.9293550572 5458654.42437799,42089.4096631772 5458640.67707125,42076.0624562311 5458646.83165598,42075.2609558974 5458645.28527752,42069.5613979688 5458633.95033135,42083.3204870309 5458626.09474249,42065.4648407076 5458602.69811701,42062.3256310672 5458598.64662546,42055.702121365 5458587.1261726))"
france_hospitals_point.1109659890,1109659890,hospital,Centre d'imagerie médicale de Basse-Normandie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,2,2022-12-08T16:34:59Z,radiology,POINT (-40223.689011242335 6310284.295051824),"SRID=3857;POLYGON((-40298.2011326699 6310304.76944963,-40285.6665580066 6310247.14262488,-40150.9143144013 6310252.20327348,-40169.0593914006 6310324.99516134,-40191.4457409992 6310319.66183922,-40194.0172212365 6310330.379605,-40298.2011326699 6310304.76944963))"
france_hospitals_point.624292596,624292596,hospital,Pôle de santé,,,,Clinique du Nohain,,,,,,580780195,365,,,,,,,,,,,,,,,,,,,,,,way,3,2022-10-18T20:57:41Z,,POINT (325860.98496722017 6008280.727113658),"SRID=3857;POLYGON((325706.091360537 6008244.23619892,325711.312244656 6008230.94681305,325723.11211068 6008211.98315786,325728.332994798 6008215.71667559,325759.235285442 6008162.41140533,325957.272659563 6008278.85777639,325960.556584542 6008322.60780613,325966.523309248 6008340.14077479,325974.438125044 6008356.12771523,325966.823871873 6008372.83837586,325921.594762764 6008407.32888657,325875.386042136 6008352.4599269,325856.873610817 6008338.28221265,325800.590476272 6008276.4729127,325765.213142098 6008244.53224983,325738.34061702 6008232.27904017,325732.808038328 6008229.8941893,325729.234682673 6008229.59813889,325706.091360537 6008244.23619892))"
france_hospitals_point.571290238,571290238,hospital,Institut de Cancérologie du Gard,ICG,,,,,,,,,,,,,,,+33 4 66 68 68 68,,,,,,,,,,,,,,,survey,,way,3,2022-02-11T14:49:36Z,,POINT (481251.7338912362 5437911.082925422),"SRID=3857;POLYGON((481164.77326071 5437891.34977301,481196.955725499 5437854.69068659,481210.859529899 5437866.98751034,481246.949308814 5437839.9406913,481279.588183514 5437883.80502487,481283.784928317 5437884.08274555,481286.156033471 5437884.68447372,481288.426951083 5437885.57935158,481290.564285307 5437886.78280816,481292.523508345 5437888.23312783,481295.573662392 5437891.53492028,481297.877975852 5437895.85502433,481298.968906861 5437900.20598832,481299.035698556 5437904.29466203,481298.100614833 5437908.63020104,481331.429670377 5437953.49774946,481326.776515662 5437956.98471389,481282.204191548 5437990.37323657,481245.379703994 5437940.86137172,481250.767567348 5437936.83439785,481239.257132 5437921.3436795,481233.869268646 5437925.37064661,481219.954332296 5437933.7485953,481214.677788433 5437935.49207361,481210.72594651 5437932.00511732,481164.77326071 5437891.34977301))"
