code_id;nom_du_jardin;adresse;code_postal;ville;region;departement;coordonnees_x;coordonnees_y;descriptif;site_web;facebook;twitter;instagram;dailymotion;tag_annee_de_labellisation;tag_jardin_remarquable;tag_maison_des_illustres;tag_monument_historique;tag_protection_site;tag_tourisme_et_handicap;tag_musee_de_france;tag_architecture_contemporaine_remarquable;tag_vpah;tag_patrimoine_mondial_de_lunesco;tag_jardin_prive;tag_jardin_contemporain;tag_parc_paysager;tag_jardin_regulier;tag_jardin_de_collection;tag_jardin_public;tag_jardin_vivrier;tag_jardin_inspiration_medievale;coordonnees_geographiques
MHR_76_JR0031;Jardin des Martels;Les Martels;81500;Giroussens;Occitanie;Tarn;43.74961225;1.786538959;Jardin privé de 3,5 hectares à l'anglaise. Plus de 2 600 variétés. Serre exotique aquatique. Labyrinthe de bambous. Pagode artisanale balinaise. Collection de nymphéas et de lotus. Temple du lotus. Mini-ferme. Belvédère sur jardins en terrasse. Jardinerie.;http://www.jardinsdesmartels.com;https://www.facebook.com/JardinsDesMartels;;;;labellisee-en-2006;jardin-remarquable;;;;;;;;;jardin-prive;;parc-paysager;;;;;;43.74961225,1.786538959
MHR_76_JR0032;Les jardins de Quercy;Cambou;82330;Verfeil-sur-Seye;Occitanie;Tarn-et-Garonne;44.17271657;1.881821752;"Sur un hectare privé de terrain en pente, jardins thématiques de différente taille, clos par des haies. Une dizaine de jardins : blanc, végétal, à l'anglaise, australien, indien, labyrinthe... Nouveau cette année : le jardin des ruines romaines.
 Nombreuses variétés rares de vivaces, de rosiers.";http://www.lesjardinsdequercy.fr;;;https://www.instagram.com/lesjardinsdequercy/;;labellisee-en-2008;jardin-remarquable;;;;;;;;;jardin-prive;jardin-contemporain;parc-paysager;;;;;;44.17271657,1.881821752
MHR_76_JR0034;Jardin d’En Galinou;En Galinou;31460;Caraman;Occitanie;Haute-Garonne;43.52708;1.78253;Quand nous sommes arrivés, le terrain était une friche carrée, de 8000 m2 en légère pente vers le sud, avec une source captée juste dans l'angle Nord-Est. Il a fallu tout faire à partir de rien, c'est ce qui nous plaisait. On a commencé par des arbres à l'est pour nous protéger du vent d'autan, puis on a planté les rocailles et les plates-bandes. Tout le travail de plantation, de taille, d'arrachage doit aboutir à ce qu'on voit un paysage et non pas un jardin. On met une plante là où nous pensons qu'elle sera bien et non pas là où elle ferait bien. Une grande rocaille traverse le jardin d'ouest en est le long d'une cassure de la pente. Cette rocaille s'est étendue petit à petit, d'abord à l'ouest, puis à l'est (temps de travail : deux heures à deux par m2 de rocaille). Elle fait 300 m2 maintenant. Il nous a fallu 5 ans pour la construire. Puis on a créé des plate-bandes au nord de cette rocaille, des bassins pour prolonger la source, enfin on s'attaque au sud.;http://www.galinou.fr;https://www.facebook.com/EnGalinou/;;;;labellisee-en-2015;jardin-remarquable;;;;;;;;;jardin-prive;jardin-contemporain;;;;;;;43.52708,1.78253
MHR_32_JR0003;Le parc de Barbieux;avenue Jean Jaurès/avenue Le Nôtre;59100;Roubaix;Hauts-de-France;Nord;50.678691;3.161981;Jardin agrée par l'association des Parcs et Jardins du Nord/Pas-de-Calais. Le parc de Barbieux possède un fort potentiel environnemental : c'est un réservoir de biodiversité. Avec plus de 60 espèces végétales recensées, il constitue un véritable arboretum dans lequel la majorité des essences est représentée par plus de trois individus. Avec les origines diverses des végétaux, le promeneur peut réaliser un tour du monde botanique. On distinguera parmi tant d'autres le cyprès chauve des Etats unis, le savonnier des Antilles, le Paulownia, le Ginkgo biloba–arbre aux 40 écus ou le Phellodendron-arbre au liège de l'amour, tous trois originaires de Chine... Ce parc de 34 hectares, est aussi une aire de refuge pour l'avifaune, on peut y rencontrer au détour d'un bosquet plus de 50 espèces.;http://www.mairie-roubaix.fr;;;;;labellisee-en-2011;jardin-remarquable;;;protection-site;;;;;;;;parc-paysager;;;jardin-public;;;50.678691,3.161981
MHR_32_JR0005;Le jardin des Lianes;8 rue des Capucins;62140;Chériennes;Hauts-de-France;Pas-de-Calais;50.31272884;2.051986456;Ce jardin de 5400 m2 se veut libre, romantique, parfumé, coloré et facile d'entretien. Il est structuré à partir d'arbres et d’arbustes de collection, qui offrent une grande diversité de feuillages, assurant de la couleur du printemps jusqu'à l’automne. Aux parfums des viburnums et autres arbustes à fleurs succèdent ceux de 400 variétés de roses anciennes ou anglaises que l'on peut apprécier au détour de nombreuses petites allées. Une très belle collection d'hydrangéa (environ 180 variétés dont de nombreux cultivars japonais) vient aussi varier les plaisirs, offrant avec les vivaces des fleurs à admirer jusqu'aux gelées. Un pigeonnier, un petit puits, quelques cabanes, de nombreuses gloriettes et bancs participent à son décor.;http://jardindeslianes.fr;;;;;labellisee-en-2006;jardin-remarquable;;;;;;;;;jardin-prive;jardin-contemporain;parc-paysager;;jardin-de-collection;;;;50.31272884,2.051986456
MHR_32_JR0007;Jardins du manoir d'Hénocq;7 rue de la Creuse;62170;Bréxent-Énocq;Hauts-de-France;Pas-de-Calais;50.51;1.73;"Jardin créé en 2001 sur un ancien fief féodal, à l'arrière d'un manoir du XVIème siècle.
 Jardin témoignant de ""l'art de vivre"" dans les jardins au Moyen-Age par sa géométrie, sa symbolique, sa botanique.";http://www,jardinsdhenocq.com;;;;;labellisee-en-2015;jardin-remarquable;;;;;;;;;jardin-prive;jardin-contemporain;;;;;jardin-vivrier;jardin-inspiration-medievale;50.51,1.73
MHR_32_JR0011;Jardins du château;3 rue de l'Eglise;02120;Puisieux-Clanlieu;Hauts-de-France;Aisne;49.87013913;3.647236973;Autour d'un château du XVIIIe siècle, le parc de 4 hectares et le jardin comprennent un arboretum avec des arbres séculaires (cèdre du Liban de 30m de haut et 7m20 de circonférence, érables, séquoias, châtaigniers), un jardin à la française, des collections de pivoines, rhododendrons, hydrangéas, topiaires, rosiers et houx.;http://www.puisieux.com;;;;;labellisee-en-2006;jardin-remarquable;;;;;;;;;jardin-prive;;parc-paysager;jardin-regulier;;;;;49.87013913,3.647236973
MHR_32_JR0012;Jardins du château de Viels-Maisons;11 place du Marché;02540;Viels-Maisons;Hauts-de-France;Aisne;48.895548;3.396919;Au chevet d'une vieille église, entourée d'un parc du XVIIe siècle (ISMH) et d'un château du début du XIXe siècle, une succession de jardins dessinés par la paysagiste Sonja Gauron : un jardin de curé, de roses et de plantes officinales, un jardin anglais, camaïeu de couleurs, puis un jardin blanc, un jardin romantique, un jardin d'eau, un jardin sauvage des hydrangeas, des rhododendrons et un cadran solaire analemmatique.;http://jardins-vielsmaisons.net;;;;;labellisee-en-2004;jardin-remarquable;;monument-historique;;;;;;;jardin-prive;jardin-contemporain;parc-paysager;jardin-regulier;;;jardin-vivrier;;48.895548,3.396919
MHR_32_JR0016;Roseraie de l'abbaye de Chaalis;Musée Jacquemart André;60300;Fontaine-Chaalis;Hauts-de-France;Oise;49.18745374;2.621397972;Un parc romantique propice à la promenade, avec sa magnifique roseraie, ses parterres à la française et son parcours de senteurs.;http://www.chaalis.fr;;;;;labellisee-en-2004;jardin-remarquable;;;;;;;;;;;parc-paysager;jardin-regulier;jardin-de-collection;jardin-public;;;49.18745374,2.621397972
MHR_32_JR0017;Jardin Henri Le Sidaner;7 rue Henri Le sidaner;60380;Gerberoy;Hauts-de-France;Oise;49.53321568;1.849249676;Dans l'enceinte de l'ancien château féodal, une partie des terrasses a été aménagée par le peintre post-impressionniste Henri Le Sidaner en un jardin suspendu visible depuis les remparts. Il propose une composition de jardins et bosquets sur plusieurs niveaux (jardin blanc, jardin sauvage, jardin jaune et bleu, roseraie, atelier d'été du peintre).;http//:www.lesjardinshenrilesidaner.com;;;;;labellisee-en-2015;jardin-remarquable;;;protection-site;;;;;;jardin-prive;;;;jardin-de-collection;;;;49.53321568,1.849249676
MHR_32_JR0021;Jardin d’Emonville;place Clémenceau;80100;Abbeville;Hauts-de-France;Somme;50.10547663;1.836830378;Le jardin d’Emonville, créé au XIXe siècle, a été façonné par ses anciens propriétaires pour devenir un jardin d’agrément au milieu duquel fut bâti un bel hôtel particulier. Aujourd’hui jardin public labellisé « Jardin remarquable », il propose un jardin anglo-chinois, un arboretum remarquable, ainsi que des massifs de mosaïculture.;http://www.abbeville.fr;;;;;labellisee-en-2015;jardin-remarquable;;;;;;;;;;;parc-paysager;;;jardin-public;;;50.10547663,1.836830378
MHR_32_JR0024;Jardin du château de Maizicourt;29 route d'Amiens;80370;Maizicourt;Hauts-de-France;Somme;50.15582713;2.126508951;Ce parc paysager de 10 hectares, servant d'écrin à un petit château du XVIIIe siècle, propose une collection de rosiers et d'hydrangeas dans leurs bordures de buis, ainsi qu’une succession de jardins à thèmes réservant des surprises (pivoines, topiaires, fabriques, fontaines et bassins).;http://jardinsdemaizicourt.com;;;;;labellisee-en-2004;jardin-remarquable;;;;;;;;;jardin-prive;jardin-contemporain;parc-paysager;jardin-regulier;jardin-de-collection;;jardin-vivrier;;50.15582713,2.126508951
MHR_84_JR0005;Jardins du château de la Batisse;route de Varennes;63450;Chanonat;Auvergne-Rhône-Alpes;Puy-de-Dôme;45.69186;3.084277;"Au pied du célèbre plateau de Gergovie, niché dans son vallon, le château de La Batisse se laisse découvrir dans son écrin de verdure, baigné d'une charmante rivière.
 Les jardins à la française, dessinés par l'école d'André Le Nôtre,se composent de bassins, cascades, fontaines, grottes bâties et grottes de buis, labyrinthe de verdure, escalier à double révolution, etc.";http://www.chateaudelabatisse.com;https://www.facebook.com/chateaudelabatissevisite/;;;;labellisee-en-2006;jardin-remarquable;;monument-historique;;;;;;;jardin-prive;;parc-paysager;jardin-regulier;;;;;45.69186,3.084277
MHR_84_JR0007;Jardins du château de Cordès;"Route d'Orcival
 Château de Cordès";63210;Orcival;Auvergne-Rhône-Alpes;Puy-de-Dôme;45.70222318;2.839407921;Jardins à la française dessinés en 1695 et attribués à Le Nôtre. Comprenant charmilles et allées de hêtres et de charmes, ils forment un labyrinthe de verdure à partir duquel se dégage une belle perspective sur le Puy de Dôme.;http://www.chateau-cordes-orcival.com;;;;;labellisee-en-2004;jardin-remarquable;;monument-historique;;;;;;;;;;jardin-regulier;;;;;45.70222318,2.839407921
MHR_84_JR0010;Jardin du château de Saint-Bernard;152 avenue Suzanne Valadon;01600;Saint-Bernard;Auvergne-Rhône-Alpes;Ain;45.94480552;4.732521772;Jardin privé de 2 hectares créé en 2003, situé dans le cadre d'un château XVIIe et XIXe siècles. Jardin régulier constitué de carrés thématiques, labyrinthe de 600 pommiers et poiriers, roseraie.;http://www.chateau-de-saint-bernard.fr;https://www.facebook.com/pages/Ch%C3%A2teau-de-Menthon-Saint-Bernard/154305434601340;;https://www.instagram.com/chateaudementhonsaintbernard/;;labellisee-en-2011;jardin-remarquable;;;;;;;;;;jardin-contemporain;;jardin-regulier;jardin-de-collection;;;;45.94480552,4.732521772
MHR_84_JR0012;Les jardins des pins;Château du Pin;07380;Fabras;Auvergne-Rhône-Alpes;Ardèche;44.64863546;4.290273786;Jardin d'artiste contemporain privé de 3 hectares, conçu par Martine Diersé autour d'un château du XVIe siècle. Composé en trois parties, il accueille des sculptures contemporaines et fleurs de céramique installées parmi les roses anciennes, iris, pivoines, glycines, plantes aromatiques et potagères. Ouvert de mai à octobre et sur RV.;http://www.chateaudupin.org;https://www.facebook.com/Ch%C3%A2teau-et-jardins-du-Pin-Association-Colette-Bonzo-263505440848452/;;;;labellisee-en-2011;jardin-remarquable;;;;;;;;;jardin-prive;jardin-contemporain;;;;;;;44.64863546,4.290273786
MHR_84_JR0016;Parc de la Tête d'Or;Parc de la Tête d'Or;69006;Lyon;Auvergne-Rhône-Alpes;Rhône;45.77740768;4.855226129;Parc de la ville de Lyon de 105 hectares créé par les frères Bühler en 1857. L'entrée principale Porte des Enfants du Rhône ouvre sur la perspective d'un lac de 16 hectares, centre de la composition paysagère. Il est orné de deux roseraies (plus de 400 variétés), d'arbres remarquables et d'une importante statuaire. Le parc comprend également un jardin botanique avec ses grandes et petites serres et sa roseraie qui retrace l'histoire de la rose, un jardin zoologique dont une partie a été réaménagée en Plaine africaine en 2005. Ouvert toute l'année.;http://www.lyon.fr;https://www.facebook.com/Parc-de-la-T%C3%AAte-dor-29597219628/;;;;labellisee-en-2006;jardin-remarquable;;monument-historique;;;;;;;;;parc-paysager;;jardin-de-collection;jardin-public;;;45.77740768,4.855226129
MHR_84_JR0021;Parc Jouvet;avenue de la Comète;26000;Valence;Auvergne-Rhône-Alpes;Drôme;44.92956445;4.885482788;"Parc public de 7 hectares, créé au début du XXe siècle par des architectes paysagistes de renom (Vacherot, Redont, Touret, Martinet) ; de style composite il associe style à la française et décor paysager. Ouvert toute l'année.";;https://www.facebook.com/pages/Parc-Jouvet/1437159116515481;;;;labellisee-en-2006;jardin-remarquable;;;protection-site;;;;;;;;parc-paysager;jardin-regulier;;jardin-public;;;44.92956445,4.885482788
MHR_84_JR0025;Parc du château du Touvet;allée du château;38660;Le Touvet;Auvergne-Rhône-Alpes;Isère;45.36348282;5.946582109;A l’ombre du château, les jardins aménagés en 1750 sur 5 hectares, s’organisent autour d’un remarquable escalier d’eau à l’italienne alimenté par les eaux vives du massif de Chartreuse. Longues terrasses, buis et ifs savamment taillés, jardin clos, roseraie, bassins et fontaines ponctuent l’ensemble avec art.;http://www.chateaudutouvet.com;https://www.facebook.com/Jardins-Ch%C3%A2teau-du-Touvet-152706664760316;;;;labellisee-en-2004;jardin-remarquable;;monument-historique;;;;;;;jardin-prive;;;jardin-regulier;;;;;45.36348282,5.946582109
MHR_84_JR0029;Jardin botanique;4 chemin du Jardin botanique;42400;Saint-Chamond;Auvergne-Rhône-Alpes;Loire;45.466843;4.529454;Jardin botanique de 7000 m², créé par Michel Manevy horticulteur et paysagiste, à partir de 1995 à l'emplacement d'une pépinière qui se mourrait. Construit au fil du temps avec patience, il réunit 4500 espèces végétales mises en scène avec recherche dans le jardin à l'italienne, le jardin blanc, celui de l'homme créateur et celui des simples.;;;;;;labellisee-en-2013;jardin-remarquable;;;;;;;;;jardin-prive;;;;jardin-de-collection;;;;45.466843,4.529454
MHR_04_JR0002;Mascarin Jardin botanique de la Réunion;2 rue du Père Georges;97436;Saint-Leu;Réunion;Réunion;-21.1374;55.2954;A l'origine, ce domaine faisait partie de la vaste propriété agricole (660 ha) de Sosthènes d'Armand de Chateauvieux et de sa descendance, qui vécurent sur ce site depuis 1857. Aujourd'hui, l'immense maison et les dépendances abritent Mascarin Jardin Botanique de La Réunion qui présente 8 collections botaniques différentes et qui a une double mission : la sensibilisation et l'éducation des publics à la préservation des milieux naturels et de la flore indigène locale et la transmission des savoirs culturels réunionnais.;https://www.departement974.fr/mascarin-jardin-botanique;;;;;labellisee-en-2019;jardin-remarquable;;;;;;;;;;;;;jardin-de-collection;jardin-public;jardin-vivrier;;-21.1374,55.2954
MHR_02_JR0004;Jardin de l’habitation Céron;Anse Ceron;97250;Prêcheur;Martinique;Martinique;14.83;-61.21;Lors d'une promenade dans la forêt tropicale, le long d'un torrent de montagnes, aux eaux cristallines, découvrez la féérie d'un somptueux parc fleuri, aux arbres séculaires dont un zamana exceptionnel, répertorié comme l'un des plus grand arbres visible des petites antilles qui recouvre à l'aplomb de son feuillage plus d'un demi hectare.;https://www.voyage-martinique.fr/habitation-ceron.php;;;;;labellisee-en-2015;jardin-remarquable;;;;;;;;;jardin-prive;;;;jardin-de-collection;;;;14.83,-61.21
MHR_94_JR0002;Parc de Saleccia;Route de Bastia;20220;Monticello;Corse;Haute-Corse;42.635048;8.977933;Le parc de Saleccia œuvre pour la préservation et la mise en valeur des plantes méditerranéennes et du petit patrimoine rural. Ce sont 7 hectares de parc paysager ouverts au public où la Corse peut être respirée à travers toutes les plantes de son maquis et les vestiges d'une ancienne exploitation agricole. L'art des jardins au coeur du maquis, telle est la devise de ce parc où l'on retrouve divers parcours de découverte de la flore locale, méditerranéenne et de climat méditerranéen du monde.;http://www.parc-saleccia.fr;;;;;labellisee-en-2015;jardin-remarquable;;;;;;;;;;;parc-paysager;;;;;;42.635048,8.977933
MHR_44_JR0004;Jardin du château de Kolbsheim;21 rue de la Division Leclerc;67120;Kolbsheim;Grand-Est;Bas-Rhin;48.56104506;7.58394599;Le château de Kolbsheim a été construit vers 1703. Les jardins à la française en terrasses et le parc paysager le long du canal de la Bruche ont été créés à partir des années 1920. L'ensemble témoigne de l'aventure spirituelle des Grunelius, liés au philosophe Jacques Maritain.;https://www.parcsetjardins.fr/jardins/349-parc-et-jardin-du-chateau-de-kolbsheim;;;;;labellisee-en-2006;jardin-remarquable;;monument-historique;;;;;;;jardin-prive;;parc-paysager;jardin-regulier;;;;;48.56104506,7.58394599
MHR_44_JR0009;Jardin de la ferme bleue;21 rue Principale;67110;Uttenhoffen;Grand-Est;Bas-Rhin;48.89173197;7.655432224;Ferme badigeonnée au « Bleu de Hanau » typique de la région. Suite d’ambiances variées : cour d’entrée, jardin d’Orphée, gloriette, jardin régulier, tonnelle, topiaires, hêtrille taillée, allée italienne, jardin de cristal, lierre ciselé, bassin au pied de la tour, œuvres contemporaines. Endroit hors du temps à savourer encore ... au salon de thé. Jardin du 20e s., superficie 1700 m2.;http://www.jardinsdelafermebleue.com/;;;;;labellisee-en-2006;jardin-remarquable;;;;;;;;;jardin-prive;jardin-contemporain;;jardin-regulier;;;;;48.89173197,7.655432224
MHR_44_JR0010;Parc de Schoppenwihr;D18;68126;Bennwihr-Gare;Grand-Est;Haut-Rhin;48.13451841;7.320531607;Un grand parc à l'Anglaise, ravage pendant la libération de Colmar, Schoppenwihr, est devenu le rendez vous des amoureux de grands arbres. Ces spécimens spectaculaires de taille, d'essence et de beauté, mettent en valeur un paysage romantique bien compose qui devient d'autant plus vivant qu'il n'y a plus de château pour lui voler la place.;http://www.Schoppenwhir.com;;;;;labellisee-en-2008;jardin-remarquable;;;protection-site;;;;;;jardin-prive;;parc-paysager;;;;;;48.13451841,7.320531607
MHR_44_JR0013;Jardin du Temps;81 rue des Vosges;68110;Illzach;Grand-Est;Haut-Rhin;47.77935949;7.358007431;"Jardins créés en 2005, sur 2 hectares. Dans nos jardins se succèdent différentes scènes telles les ""paysages aquatiques"" et ""la forêt enchantée"". L’originalité de ce jardin réside dans son caractère naturaliste : agencement en masse de vivaces et de graminées à caractère sauvage. Œuvres artistiques et anachroniques, cabanes originales et sentier pieds nus participent à la magie des lieux.";http://www.jardins-du-temps.fr/;;;;;labellisee-en-2012;jardin-remarquable;;;;;;;;;jardin-prive;jardin-contemporain;;;;;;;47.77935949,7.358007431
