service;adresse_geographique;telephone;departement;code_commune_insee;voie;code_postal;commune;geocodage_epsg;geocodage_x;geocodage_y;geocodage_x_GPS;geocodage_y_GPS
"Commissariat de police de Nice - Secteur Ariane";"Avenue Emile Ripert$06000 NICE";"+33 4 92 17 26 40";"06";"06088";"Avenue Emile Ripert";"06000";"NICE";"";"";"";"7.30516396";"43.73791788"
"Commissariat de police de Nice - Secteur Centre ville";"1 Avenue du Maréchal Foch$06000 NICE";"+33 4 92 17 22 22";"06";"06088";"1 Avenue du Maréchal Foch";"06000";"NICE";"";"";"";"7.27266282";"43.70361279"
"Commissariat de police de Nice - Secteur Saint Augustin";"Traverse de la Digue des Français$06000 NICE";"+33 4 97 25 98 00";"06";"06088";"Traverse de la Digue des Français";"06000";"NICE";"";"";"";"7.20479974";"43.67797918"
"Commissariat de police de Roquebrune-Cap-Martin";"Avenue du Danemark$06190 ROQUEBRUNE CAP MARTIN";"+33 4 92 15 55 40";"06";"06104";"Avenue du Danemark";"06190";"ROQUEBRUNE CAP MARTIN";"";"";"";"7.47069745";"43.76096281"
"Commissariat de police de Saint-Laurent-du-Var";"475 Boulevard Georges Pompidou$06700 ST LAURENT DU VAR";"+33 4 97 12 17 80";"06";"06123";"475 Boulevard Georges Pompidou";"06700";"ST LAURENT DU VAR";"";"";"";"7.19351514";"43.67178022"
"Commissariat de police de Vallauris";"1 Avenue Jean Moulin$06220 VALLAURIS";"+33 4 92 95 35 10";"06";"06155";"1 Avenue Jean Moulin";"06220";"VALLAURIS";"";"";"";"7.04851819";"43.57512797"
"Commissariat de police de Villefranche-sur-Mer";"9 Avenue du Général Gallieni$06230 VILLEFRANCHE SUR MER";"+33 4 93 76 30 80";"06";"06159";"9 Avenue du Général Gallieni";"06230";"VILLEFRANCHE SUR MER";"";"";"";"7.30998958";"43.70526304"
"Commissariat de police d'Aubenas";"6 Rue Léon Rouveyrol$07200 AUBENAS";"+33 4 75 89 22 22";"07";"07019";"6 Rue Léon Rouveyrol";"07200";"AUBENAS";"";"";"";"4.39427863";"44.61589218"
"Commissariat de police de Guilherand-Granges";"670 Avenue Georges Clemenceau$07500 GUILHERAND GRANGES";"+33 4 75 63 22 22";"07";"07102";"670 Avenue Georges Clemenceau";"07500";"GUILHERAND GRANGES";"";"";"";"4.87019144";"44.93242653"
"Commissariat de police de Privas";"230 Boulevard de la Chaumette$07000 PRIVAS";"+33 4 75 64 00 22";"07";"07186";"230 Boulevard de la Chaumette";"07000";"PRIVAS";"";"";"";"4.60270369";"44.73728454"
"Commissariat de police de Charleville-Mézières";"36 Avenue Jean Jaurès$08000 CHARLEVILLE MEZIERES";"+33 3 24 57 94 94";"08";"08105";"36 Avenue Jean Jaurès";"08000";"CHARLEVILLE MEZIERES";"";"";"";"4.72276131";"49.76979477"
"Commissariat de police de Sedan";"4 Rue du Rivage$08200 SEDAN";"+33 3 24 27 86 00";"08";"08409";"4 Rue du Rivage";"08200";"SEDAN";"";"";"";"4.94428083";"49.7021932"
"Commissariat de police de Foix";"2 Avenue Lakanal$09000 FOIX";"+33 5 61 05 43 00";"09";"09122";"2 Avenue Lakanal";"09000";"FOIX";"";"";"";"1.60409791";"42.9629243"
"Commissariat de police de Pamiers";"Boulevard Delcassé$09100 PAMIERS";"+33 5 34 01 32 60";"09";"09225";"Boulevard Delcassé";"09100";"PAMIERS";"";"";"";"1.61451272";"43.11491596"
"Commissariat de police de La Chapelle-Saint-Luc";"5 Rue Bernard Palissy$10600 LA CHAPELLE ST LUC";"+33 3 25 71 88 34";"10";"10081";"5 Rue Bernard Palissy";"10600";"LA CHAPELLE ST LUC";"";"";"";"4.03863165";"48.30798776"
"Commissariat de police de Troyes";"18 Rue des Gayettes$10000 TROYES";"+33 3 25 43 51 00";"10";"10387";"18 Rue des Gayettes";"10000";"TROYES";"";"";"";"4.07340142";"48.28937242"
"Commissariat de police de Troyes - Secteur des chartreux";"3 Rue de Bourgogne$10000 TROYES";"+33 3 25 49 66 95";"10";"10387";"3 Rue de Bourgogne";"10000";"TROYES";"";"";"";"4.08220107";"48.26970878"
"Commissariat de police de Carcassonne";"55 Avenue Jules Verne$11000 CARCASSONNE";"+33 4 34 05 28 00";"11";"11069";"55 Avenue Jules Verne";"11000";"CARCASSONNE";"";"";"";"2.33023065";"43.20731611"
"Commissariat de police de Narbonne";"1 Rue Pierre Benet$11100 NARBONNE";"+33 4 68 90 38 50";"11";"11262";"1 Rue Pierre Benet";"11100";"NARBONNE";"";"";"";"3.00854518";"43.18421118"
"Commissariat de police de Decazeville";"6 Place Cabrol$12300 DECAZEVILLE";"+33 5 81 37 22 40";"12";"12089";"6 Place Cabrol";"12300";"DECAZEVILLE";"";"";"";"2.25389448";"44.55925637"
"Commissariat de police de Millau";"14 Rue de la Condamine$12100 MILLAU";"+33 5 81 37 22 00";"12";"12145";"14 Rue de la Condamine";"12100";"MILLAU";"";"";"";"3.07598923";"44.10038662"
"Commissariat de police de Rodez";"2 Rue Hervé Gardye$12000 RODEZ";"+33 5 81 37 21 50";"12";"12202";"2 Rue Hervé Gardye";"12000";"RODEZ";"";"";"";"2.57737286";"44.34963473"
"Commissariat de police d'Aix en Provence";"10 Avenue de l'Europe$13090 AIX EN PROVENCE";"+33 4 42 93 97 00";"13";"13001";"10 Avenue de l'Europe";"13090";"AIX EN PROVENCE";"";"";"";"5.43825923";"43.5236825"
"Commissariat de police d'Allauch";"Le logis neuf$112 Avenue Salvador Allende$13190 ALLAUCH";"+33 4 84 35 35 80";"13";"13002";"Le logis neuf - 112 Avenue Salvador Allende";"13190";"ALLAUCH";"";"";"";"5.48500211";"43.35502523"
"Commissariat de police d'Arles";"1 Boulevard des Lices$13200 ARLES";"+33 4 90 18 45 00";"13";"13004";"1 Boulevard des Lices";"13200";"ARLES";"";"";"";"4.63192067";"43.67479047"
"Commissariat de police d'Aubagne";"9 Avenue Jeanne d'Arc$13400 AUBAGNE";"+33 4 88 22 71 00";"13";"13005";"9 Avenue Jeanne d'Arc";"13400";"AUBAGNE";"";"";"";"5.56679635";"43.29510206"
"Commissariat de police d'Istres";"ZAC des salles$Rue Chantournee$13800 ISTRES";"+33 4 42 11 17 17";"13";"13047";"ZAC des salles - Rue Chantournee";"13800";"ISTRES";"";"";"";"4.98931592";"43.50261666"
"Commissariat de police de Les Pennes-Mirabeau";"La Gavotte$77 Avenue François Mitterrand$13170 LES PENNES MIRABEAU";"+33 4 84 35 39 20";"13";"13071";"La Gavotte - 77 Avenue François Mitterrand";"13170";"LES PENNES MIRABEAU";"";"";"";"5.35076299";"43.37972046"
"Commissariat de police de Marignane";"Avenue du 8 mai 1945$13700 MARIGNANE";"+33 4 42 31 90 00";"13";"13054";"Avenue du 8 mai 1945";"13700";"MARIGNANE";"";"";"";"5.21899007";"43.41241871"
"Commissariat de police de Marseille 10ème arrondissement";"87 Boulevard Mireille Lauze$13010 MARSEILLE 10";"+33 4 84 35 33 00";"13";"13210";"87 Boulevard Mireille Lauze";"13010";"MARSEILLE 10";"";"";"";"5.40895921";"43.28303253"
"Commissariat de police de Marseille 11ème arrondissement";"187 Boulevard de Saint-Marcel$13011 MARSEILLE 11";"+33 4 84 35 35 10";"13";"13211";"187 Boulevard de Saint-Marcel";"13011";"MARSEILLE 11";"";"";"";"5.46638383";"43.28714282"
"Commissariat de police de Marseille 12ème arrondissement";"50 Rue Charles Kaddouz$13012 MARSEILLE 12";"+33 4 84 35 35 40";"13";"13212";"50 Rue Charles Kaddouz";"13012";"MARSEILLE 12";"";"";"";"5.42752712";"43.31029046"
"Commissariat de police de Marseille 13ème arrondissement";"9 Avenue Abbé Jean Baptiste Fouque$13013 MARSEILLE 13";"+33 4 84 35 36 70";"13";"13213";"9 Avenue Abbé Jean Baptiste Fouque";"13013";"MARSEILLE 13";"";"";"";"5.40775681";"43.31972368"
"Commissariat de police de Marseille 14ème arrondissement";"Centre Urbain Le Merlan$31 Avenue Raimu$13014 MARSEILLE 14";"+33 4 84 35 37 00";"13";"13214";"Centre Urbain Le Merlan - 31 Avenue Raimu";"13014";"MARSEILLE 14";"";"";"";"5.39900634";"43.33104945"
"Commissariat de police de Marseille 15ème arrondissement";"La Delorme$2 Rue Odette Jasse$13015 MARSEILLE 15";"+33 4 96 16 94 45";"13";"13215";"La Delorme - 2 Rue Odette Jasse";"13015";"MARSEILLE 15";"";"";"";"5.371244";"43.34225568"
"Commissariat de police de Marseille 16ème arrondissement";"Villa minerve$26 Boulevard Roger Chieusse$13016 MARSEILLE 16";"+33 4 84 35 37 40";"13";"13216";"Villa minerve - 26 Boulevard Roger Chieusse";"13016";"MARSEILLE 16";"";"";"";"5.31746811";"43.36274481"
"Commissariat de police de Marseille 1er arrondissement";"66 La Canebière$13001 MARSEILLE 01";"+33 4 88 77 59 92";"13";"13201";"66 La Canebière";"13001";"MARSEILLE 01";"";"";"";"5.38078815";"43.29737911"
"Commissariat de police de Marseille 2ème arrondissement";"40 Avenue Robert Schuman$13002 MARSEILLE 02";"+33 4 84 52 49 23";"13";"13202";"40 Avenue Robert Schuman";"13002";"MARSEILLE 02";"";"";"";"5.36655373";"43.30261082"
"Commissariat de police de Marseille 3ème arrondissement";"143 Rue Félix Pyat$13003 MARSEILLE 03";"+33 4 84 35 36 20";"13";"13203";"143 Rue Félix Pyat";"13003";"MARSEILLE 03";"";"";"";"5.37416292";"43.31772323"
"Commissariat de police de Marseille 4ème et 5ème arrondissement";"136 Avenue des Chartreux$13004 MARSEILLE 04";"+33 4 84 35 32 00";"13";"13204";"136 Avenue des Chartreux";"13004";"MARSEILLE 04";"";"";"";"5.40012615";"43.30787379"
"Commissariat de police de Marseille 6ème arrondissement";"98 Rue de Rome$13006 MARSEILLE 06";"+33 4 88 77 59 92";"13";"13206";"98 Rue de Rome";"13006";"MARSEILLE 06";"";"";"";"5.38075738";"43.29098347"
"Commissariat de police de Marseille 7ème arrondissement";"110 Avenue de la Corse$13007 MARSEILLE 07";"+33 4 84 35 34 00";"13";"13207";"110 Avenue de la Corse";"13007";"MARSEILLE 07";"";"";"";"5.35653422";"43.28988834"
"Commissariat de police de Marseille 8ème arrondissement";"38 Boulevard Baptiste Bonnet$13008 MARSEILLE 08";"+33 4 84 35 34 50";"13";"13208";"38 Boulevard Baptiste Bonnet";"13008";"MARSEILLE 08";"";"";"";"5.39054554";"43.25658772"
"Commissariat de police de Marseille 9ème arrondissement";"38 Boulevard Baptiste Bonnet$13008 MARSEILLE 08";"+33 4 84 35 34 50";"13";"13208";"38 Boulevard Baptiste Bonnet";"13008";"MARSEILLE 08";"";"";"";"5.39054554";"43.25658772"
"Commissariat de police de Martigues";"Avenue du Commandant l'Herminier$13500 MARTIGUES";"+33 4 88 10 13 10";"13";"13056";"Avenue du Commandant l'Herminier";"13500";"MARTIGUES";"";"";"";"5.04690615";"43.40618143"
"Commissariat de police de Miramas";"16 Avenue Marius Chalve$13140 MIRAMAS";"+33 4 90 58 78 30";"13";"13063";"16 Avenue Marius Chalve";"13140";"MIRAMAS";"";"";"";"4.99979305";"43.57939508"
"Commissariat de police de Plan-de-Cuques";"2 Avenue Georges Pompidou$13380 PLAN DE CUQUES";"+33 4 84 35 35 80";"13";"13075";"2 Avenue Georges Pompidou";"13380";"PLAN DE CUQUES";"";"";"";"5.46404925";"43.34277557"
"Commissariat de police de Salon-de-Provence";"Avenue du Pays Catalan$13300 SALON DE PROVENCE";"+33 4 90 17 04 00";"13";"13103";"Avenue du Pays Catalan";"13300";"SALON DE PROVENCE";"";"";"";"5.09827001";"43.6541907"
"Commissariat de police de Septème-les-Vallons";"Chemin de la Rougière$13240 SEPTEMES LES VALLONS";"";"13";"13106";"Chemin de la Rougière";"13240";"SEPTEMES LES VALLONS";"";"";"";"5.36670592";"43.3923575"
"Commissariat de police de Septème-les-Vallons - Permanence au sein du poste de police municipale";"Place Didier Tramoni$13240 SEPTEMES LES VALLONS";"+33 4 96 14 00 06";"13";"13106";"Place Didier Tramoni";"13240";"SEPTEMES LES VALLONS";"";"";"";"5.36632";"43.39898"
"Commissariat de police de Tarascon";"3 Boulevard du Viaduc$13150 TARASCON";"+33 4 90 91 52 90";"13";"13108";"3 Boulevard du Viaduc";"13150";"TARASCON";"";"";"";"4.65946243";"43.80196896"
"Commissariat de police de Vitrolles";"Rue Antoine Biancardini$13127 VITROLLES";"+33 4 42 10 88 20";"13";"13117";"Rue Antoine Biancardini";"13127";"VITROLLES";"";"";"";"5.25523978";"43.43857498"
"Commissariat de police de la Ciotat";"59 Avenue Victor Giraud$13600 LA CIOTAT";"+33 4 88 22 71 60";"13";"13028";"59 Avenue Victor Giraud";"13600";"LA CIOTAT";"";"";"";"5.60594466";"43.1712108"
"Commissariat de police d'Honfleur";"3 Rue Villey$14600 HONFLEUR";"+33 2 31 15 87 50";"14";"14333";"3 Rue Villey";"14600";"HONFLEUR";"";"";"";"0.23644285";"49.41779669"
"Commissariat de police de Caen";"10 Rue du Docteur Thibout de la Fresnaye$14000 CAEN";"+33 2 31 29 22 22";"14";"14118";"10 Rue du Docteur Thibout de la Fresnaye";"14000";"CAEN";"";"";"";"-0.37868659";"49.18678016"
"Commissariat de police de Caen - Secteur Guynemer";"19 Avenue du Capitaine Georges Guynemer$14000 CAEN";"+33 2 31 15 87 40";"14";"14118";"19 Avenue du Capitaine Georges Guynemer";"14000";"CAEN";"";"";"";"-0.34919671";"49.16732518"
"Commissariat de police de Caen - Secteur Jacobins";"40 Rue des Jacobins$14000 CAEN";"+33 2 31 15 63 60";"14";"14118";"40 Rue des Jacobins";"14000";"CAEN";"";"";"";"-0.36043273";"49.1790711"
"Commissariat de police de Carpiquet";"2 Route de Bretteville sur Odon$14650 CARPIQUET";"+33 2 31 29 55 35";"14";"14137";"2 Route de Bretteville sur Odon";"14650";"CARPIQUET";"";"";"";"-0.44386044";"49.18372895"
"Commissariat de police de Deauville";"8 Rue Désiré le Hoc$14800 DEAUVILLE";"+33 2 31 15 88 00";"14";"14220";"8 Rue Désiré le Hoc";"14800";"DEAUVILLE";"";"";"";"0.08052979";"49.35993153"
"Commissariat de police de Dives sur Mer";"13 Avenue Secretan$14160 DIVES SUR MER";"+33 2 31 15 87 00";"14";"14225";"13 Avenue Secretan";"14160";"DIVES SUR MER";"";"";"";"-0.10061196";"49.28803042"
"Commissariat de police de Hérouville st Clair";"Place du petit vertige$14200 HEROUVILLE ST CLAIR";"+33 2 31 15 86 80";"14";"14327";"Place du petit vertige";"14200";"HEROUVILLE ST CLAIR";"";"";"";"-0.32961008";"49.20481098"
"Commissariat de police de Lisieux";"41 Boulevard Sainte Anne$14100 LISIEUX";"+33 2 31 15 86 50";"14";"14366";"41 Boulevard Sainte Anne";"14100";"LISIEUX";"";"";"";"0.22428478";"49.14261917"
"Commissariat de police de Mondeville";"5 Rue du 19 Mars 1962$14120 MONDEVILLE";"+33 2 31 15 87 30";"14";"14437";"5 Rue du 19 Mars 1962";"14120";"MONDEVILLE";"";"";"";"-0.32452865";"49.16642194"
"Commissariat de police d'Aurillac";"17 Rue Pasteur$15000 AURILLAC";"+33 4 71 45 51 00";"15";"15014";"17 Rue Pasteur";"15000";"AURILLAC";"";"";"";"2.44411447";"44.92541118"
"Commissariat de police d'Angoulême";"Champ de Mars$Rue Raymond Poincarré$16000 ANGOULEME";"+33 5 45 39 38 37";"16";"16015";"Champ de Mars - Rue Raymond Poincarré";"16000";"ANGOULEME";"";"";"";"0.16278064";"45.64919285"
"Commissariat de police d'Angoulême - Quartier Basseau";"38 Rue Pierre Aumaitre$16000 ANGOULEME";"+33 5 45 39 38 63";"16";"16015";"38 Rue Pierre Aumaitre";"16000";"ANGOULEME";"";"";"";"0.12611539";"45.64742048"
"Commissariat de police d'Angoulême - Soyaux";"Centre Commercial Léon Blum$16800 SOYAUX";"+33 5 45 95 56 44";"16";"16374";"Centre Commercial Léon Blum";"16800";"SOYAUX";"";"";"";"0.18579442";"45.64795527"
"Commissariat de police de Cognac";"14 Rue Richard$16100 COGNAC";"+33 5 45 36 38 50";"16";"16102";"14 Rue Richard";"16100";"COGNAC";"";"";"";"-0.32446423";"45.69553846"
"Commissariat de police de La Rochelle";"1 Rue de la Marne$17000 LA ROCHELLE";"+33 5 46 51 36 36";"17";"17300";"1 Rue de la Marne";"17000";"LA ROCHELLE";"";"";"";"-1.14698559";"46.16864251"
"Commissariat de police de La Rochelle - Secteur Mireuil";"Avenue du Général Mangin$17000 LA ROCHELLE";"+33 5 46 42 28 30";"17";"17300";"Avenue du Général Mangin";"17000";"LA ROCHELLE";"";"";"";"-1.1832008";"46.16636068"
"Commissariat de police de Périgny";"2 Impasse du Clos Lucé$17180 PERIGNY";"+33 5 46 30 56 19";"17";"17274";"2 Impasse du Clos Lucé";"17180";"PERIGNY";"";"";"";"-1.09834749";"46.15682297"
"Commissariat de police de Rochefort";"42 Rue Jean Jaurès$17300 ROCHEFORT";"+33 5 46 87 69 14";"17";"17299";"42 Rue Jean Jaurès";"17300";"ROCHEFORT";"";"";"";"-0.95964815";"45.93449333"
"Commissariat de police de Royan";"13 Rue du château d'Eau$17200 ROYAN";"+33 5 46 39 40 10";"17";"17306";"13 Rue du château d'Eau";"17200";"ROYAN";"";"";"";"-1.03217756";"45.62387226"
"Commissariat de police de Saintes";"1 Place du bastion$17100 SAINTES";"+33 5 46 90 30 40";"17";"17415";"1 Place du bastion";"17100";"SAINTES";"";"";"";"-0.63665107";"45.74684467"
"Commissariat de police de Bourges";"6 Avenue d'Orléans$18000 BOURGES";"+33 2 48 23 77 17";"18";"18033";"6 Avenue d'Orléans";"18000";"BOURGES";"";"";"";"2.38426052";"47.09090943"
"Commissariat de police de Vierzon";"3 Rue Mac Nab$18100 VIERZON";"+33 2 48 52 92 40";"18";"18279";"3 Rue Mac Nab";"18100";"VIERZON";"";"";"";"2.06490873";"47.22345899"
"Commissariat de police d'Ussel";"7 Avenue Carnot$19200 USSEL";"+33 5 55 96 11 29";"19";"19275";"7 Avenue Carnot";"19200";"USSEL";"";"";"";"2.31016055";"45.54694379"
"Commissariat de police de Brive-la-Gaillarde";"4 Boulevard Anatole France$19100 BRIVE LA GAILLARDE";"+33 5 55 17 46 00";"19";"19031";"4 Boulevard Anatole France";"19100";"BRIVE LA GAILLARDE";"";"";"";"1.53483085";"45.16060784"
"Commissariat de police de Tulle";"2 Rue Anne Vialle$19000 TULLE";"+33 5 55 21 72 00";"19";"19272";"2 Rue Anne Vialle";"19000";"TULLE";"";"";"";"1.76609559";"45.26373636"
"Commissariat de police de Beaune";"5 Avenue du Général de Gaulle$21200 BEAUNE";"+33 3 80 25 09 25";"21";"21054";"5 Avenue du Général de Gaulle";"21200";"BEAUNE";"";"";"";"4.83491724";"47.01778626"
"Commissariat de police de Dijon";"2 Place Suquet$21000 DIJON";"+33 3 80 44 55 00";"21";"21231";"2 Place Suquet";"21000";"DIJON";"";"";"";"5.03373884";"47.31585337"
"Commissariat de police de Lannion";"2 Boulevard du Forlac'h$22300 LANNION";"+33 2 96 46 69 50";"22";"22113";"2 Boulevard du Forlac'h";"22300";"LANNION";"";"";"";"-3.45162852";"48.73164878"
"Commissariat de police de Saint-Brieuc";"1 bis Boulevard Waldeck Rousseau$22000 ST BRIEUC";"+33 2 96 77 29 00";"22";"22278";"1 bis Boulevard Waldeck Rousseau";"22000";"ST BRIEUC";"";"";"";"-2.75713787";"48.50952915"
"Commissariat de police de Guéret";"17 Place Bonnyaud$23000 GUERET";"+33 5 55 41 27 00";"23";"23096";"17 Place Bonnyaud";"23000";"GUERET";"";"";"";"1.8711253";"46.16837716"
"Commissariat de police de Bergerac";"2 Allée Félix-Landry$24100 BERGERAC";"+33 5 53 74 74 17";"24";"24037";"2 Allée Félix-Landry";"24100";"BERGERAC";"";"";"";"0.48379922";"44.85323996"
"Commissariat de police de Périgueux";"17 Rue du 4 Septembre$24000 PERIGUEUX";"+33 5 53 06 44 44";"24";"24322";"17 Rue du 4 Septembre";"24000";"PERIGUEUX";"";"";"";"0.71608543";"45.18621573"
"Commissariat de police de Besançon";"2 Avenue de la gare d'eau$25000 BESANCON";"+33 3 81 21 11 22";"25";"25056";"2 Avenue de la gare d'eau";"25000";"BESANCON";"";"";"";"6.02116423";"47.23257512"
"Commissariat de police de Montbéliard";"2 Avenue du Maréchal de Lattre de Tassigny$25200 MONTBELIARD";"+33 3 81 91 00 91";"25";"25388";"2 Avenue du Maréchal de Lattre de Tassigny";"25200";"MONTBELIARD";"";"";"";"6.79777675";"47.51160281"
"Commissariat de police de Pontarlier";"16 Rocade Georges Pompidou$25300 PONTARLIER";"+33 3 81 38 51 10";"25";"25462";"16 Rocade Georges Pompidou";"25300";"PONTARLIER";"";"";"";"6.35396286";"46.9012994"
"Commissariat de police de Montélimar";"Rue Paul Loubet$26200 MONTELIMAR";"+33 4 75 00 70 70";"26";"26198";"Rue Paul Loubet";"26200";"MONTELIMAR";"";"";"";"4.74917156";"44.56628432"
"Commissariat de police de Romans-sur-Isère";"Quai Sainte Claire$26100 ROMANS SUR ISERE";"+33 4 75 70 22 22";"26";"26281";"Quai Sainte Claire";"26100";"ROMANS SUR ISERE";"";"";"";"5.04411984";"45.04352983"
"Commissariat de police de Valence";"21 Rue Farnerie$26000 VALENCE";"+33 4 75 82 22 22";"26";"26362";"21 Rue Farnerie";"26000";"VALENCE";"";"";"";"4.89270136";"44.93424848"
"Commissariat de police d'Evreux";"13 Rue de la Rochette$27000 EVREUX";"+33 2 32 39 90 00";"27";"27229";"13 Rue de la Rochette";"27000";"EVREUX";"";"";"";"1.1408737";"49.02675323"
"Commissariat de police d'Evreux - Secteur La Madeleine";"4 Rue Joliot Curie$27000 EVREUX";"+33 2 32 39 90 25";"27";"27229";"4 Rue Joliot Curie";"27000";"EVREUX";"";"";"";"1.15032916";"49.02763936"
"Commissariat de police de Louviers";"10 Place de la République$27400 LOUVIERS";"+33 2 32 09 42 80";"27";"27375";"10 Place de la République";"27400";"LOUVIERS";"";"";"";"1.16728977";"49.21386377"
"Commissariat de police de Val-de-Reuil";"Chaussée du Parc$27100 VAL DE REUIL";"+33 2 76 38 35 00";"27";"27701";"Chaussée du Parc";"27100";"VAL DE REUIL";"";"";"";"1.21176766";"49.27284435"
"Commissariat de police de Vernon";"4 Avenue Foch$27200 VERNON";"+33 2 32 64 30 00";"27";"27681";"4 Avenue Foch";"27200";"VERNON";"";"";"";"1.47562229";"49.09729059"
"Commissariat de police de Chartres";"57 Rue du Docteur Maunoury$28000 CHARTRES";"+33 2 37 24 75 39";"28";"28085";"57 Rue du Docteur Maunoury";"28000";"CHARTRES";"";"";"";"1.47953943";"48.43627982"
"Commissariat de police de Dreux";"Place d'Evesham$28100 DREUX";"+33 2 37 65 84 10";"28";"28134";"Place d'Evesham";"28100";"DREUX";"";"";"";"1.36178993";"48.73456173"
